date,open,high,low,close,volume
2010-01-04,16.43,16.6,16.02,16.08,282897.04
2010-01-05,16.18,16.75,15.88,16.59,430317.59
2010-01-06,16.45,16.74,16.31,16.38,320401.29
2010-01-07,16.38,16.45,15.6,16.02,373703.31
2010-01-08,15.83,15.94,15.43,15.7,278291.91
2010-01-11,17.26,17.26,15.67,15.86,448765.24
2010-01-12,15.74,16.11,15.4,16.01,231332.52
2010-01-13,15.6,15.83,15.08,15.11,446367.73
2010-01-14,15.24,15.52,14.92,15.34,306323.05
2010-01-15,15.34,15.59,15.16,15.57,243470.62
2010-01-18,15.41,15.52,15.25,15.39,202049.09
2010-01-19,15.42,15.74,15.3,15.51,320687.05
2010-01-20,15.51,15.55,14.86,14.9,269177.28
2010-01-21,14.92,15.34,14.79,15.14,251115.68
2010-01-22,14.91,15.44,14.54,15.22,381944.8
2010-01-25,15.09,15.57,14.99,15.38,276527.15
2010-01-26,15.45,15.51,14.82,14.91,287110.5
2010-01-27,14.93,15.0,14.35,14.41,263516.31
2010-01-28,14.4,14.53,14.02,14.14,220256.98
2010-01-29,14.08,14.29,13.96,14.09,133773.86
2010-02-01,14.2,14.48,13.96,14.37,256488.07
2010-02-02,14.44,14.88,14.41,14.44,277075.35
2010-02-03,14.57,15.39,14.46,15.35,450944.62
2010-02-04,15.17,15.39,14.98,15.32,290928.7
2010-02-05,14.97,15.09,14.76,14.89,220467.63
2010-02-08,14.89,15.29,14.85,15.18,174974.47
2010-02-09,15.11,15.36,15.04,15.28,146020.01
2010-02-10,15.39,15.84,15.36,15.74,370917.17
2010-02-11,15.73,15.95,15.64,15.68,174496.27
2010-02-12,15.8,15.9,15.76,15.85,132823.38
2010-02-22,15.85,16.0,15.68,15.77,148777.9
2010-02-23,15.74,15.74,14.65,15.24,643112.24
2010-02-24,15.11,15.26,14.95,15.11,290331.43
2010-02-25,15.14,15.44,15.14,15.27,202651.97
2010-02-26,15.22,15.44,15.1,15.14,155083.98
2010-03-01,15.17,15.74,15.17,15.71,272981.64
2010-03-02,15.7,15.81,15.56,15.72,196264.0
2010-03-03,15.74,15.85,15.49,15.82,176621.59
2010-03-04,15.8,15.82,15.43,15.44,163348.84
2010-03-05,15.5,15.78,15.48,15.6,116612.38
2010-03-08,15.65,16.0,15.5,15.91,187706.63
2010-03-09,15.88,16.31,15.85,16.11,292083.46
2010-03-10,16.06,16.32,15.87,15.95,216392.56
2010-03-11,15.99,16.22,15.68,15.84,172970.39
2010-03-12,15.84,15.97,15.64,15.76,168928.76
2010-03-15,15.8,15.84,15.23,15.39,166607.91
2010-03-16,15.36,15.48,15.17,15.39,135057.67
2010-03-17,15.43,16.13,15.39,15.99,293528.79
2010-03-18,15.97,16.03,15.85,15.92,135172.23
2010-03-19,15.97,16.22,15.87,16.08,193154.83
2010-03-22,16.1,16.29,16.08,16.18,174493.3
2010-03-23,16.18,16.25,15.9,15.92,133501.99
2010-03-24,16.04,16.22,15.87,15.96,120440.39
2010-03-25,15.97,16.0,15.68,15.79,107936.11
2010-03-26,15.73,16.34,15.73,16.23,234679.6
2010-03-29,16.35,17.18,16.32,16.94,537103.72
2010-03-30,16.89,17.31,16.86,17.21,393319.49
2010-03-31,17.15,17.37,17.03,17.21,357853.65
2010-04-01,17.15,17.71,17.15,17.5,280760.44
2010-04-02,17.5,17.69,17.32,17.48,180843.34
2010-04-06,17.59,17.66,16.96,17.15,262914.47
2010-04-07,17.14,17.24,16.95,17.2,205290.3
2010-04-08,17.14,17.31,16.58,16.8,291447.07
2010-04-09,16.83,17.06,16.8,17.03,181089.94
2010-04-12,17.05,17.07,16.64,16.78,186703.44
2010-04-13,16.73,18.06,16.73,17.99,675460.11
2010-04-14,17.85,18.0,17.59,17.92,337541.76
2010-04-15,17.95,18.25,17.64,17.96,358842.65
2010-04-16,17.94,18.11,17.56,17.67,262478.51
2010-04-19,17.43,17.5,16.38,16.45,511785.51
2010-04-20,16.57,16.9,16.29,16.81,343401.2
2010-04-21,16.83,17.62,16.64,17.4,315642.15
2010-04-22,17.24,17.52,16.99,17.14,222741.15
2010-04-23,17.18,17.68,17.05,17.19,347479.41
2010-04-26,17.24,17.33,16.38,16.47,320276.0
2010-04-27,16.48,16.48,15.3,15.9,585699.87
2010-04-28,15.62,15.92,15.45,15.58,191939.55
2010-04-29,15.74,16.02,15.63,15.66,184111.46
